codedName;INCI_name;INN name;Ph. Eur. Name;CAS;EC_No;IUPAC_Name;Restriction;Function
L7382;TRIETHYLHEXANOIN;;;7360-38-5;230-896-0;Propane-1,2,3-triyl  2-ethylhexanoate;;Antistatic/emollient/solvent/skin conditioning/refatting
L7383;TRIETHYLHEXYL CITRATE;;;7147-34-4;230-457-3;Tris(2-ethylhexyl)  2-hydroxypropane-1,2,3-tricarboxylate;;Emollient/plasticiser
L7384;TRIETHYLHEXYL TRIMEL- LITATE;;;;;;;Emollient
L7385;TRIFLUOROMETHYL C1-4 ALKYL DIMETHICONE;;;;;;;Humectant/hair conditioning/skin conditioning
L7386;TRIFOLIUM PRATENSE EXTRACT;;;85085-25-2;285-356-7;Trifolium Pratense Extract is an extract of the flowers of the clover, Trifolium pratense, Leguminosae;;Astringent
L7387;TRIGONELLA FOENUM GRAECUM  EXTRACT;;;84625-40-1;283-415-1;Trigonella Foenum Graecum Extract is an extract of the seeds of the fenugreek, Trigonella foenum-graecum, Legu- minosae;;Skin conditioning
L7388;TRIHEPTANOIN;;;620-67-7;210-647-2;Propane-1,2,3-triyl  trisheptanoate;;Surfactant/skin conditioning
L7389;TRIHEPTYLUNDECANOIN;;;105214-66-2;;Undecanoic acid, 2-heptyl-, propanetriyl   ester;;Emollient/refatting
L7390;TRIHEXYLDECYL CITRATE;;;;;1,2,3-Propanetricarboxylic acid, 2-hydroxy-, tris(2-hexylde- cyl) ester;;Emollient/plasticiser
L7391;1,2,4-TRIHYDROXYBEN- ZENE;;;533-73-3;208-575-1;Benzene-1,2,4-triol;;Hair dyeing
L7392;TRIHYDROXYMETHOXYS- TEARIN;;;;;Octadecanoic  acid, methoxyhydroxy-,  propanetriyl ester;;Emollient/skin  conditioning
L7393;TRIHYDROXYPALMITAMI- DOHYDROXYPROPYL MYRISTYL ETHER;;;;;Hexadecanamide, 9,10,16-trihydroxy-, N-[2-hydroxy-3-tet- radecyloxy]propyl-;;Skin conditioning
L7394;TRIHYDROXYSTEARIN;;;139-44-6;205-364-6;1,2,3-propanetriyl  tris(12-hydroxyoctadecanoate);;Emollient/solvent/viscosity control- ling/skin conditioning
L7395;TRIISOCETYL CITRATE;;;4560-68-3;224-931-9;Trihexadecyl citrate;;Emollient/skin  conditioning
L7396;TRIISONONANOIN;;;56554-53-1;260-257-1;Propane-1,2,3-triyl   3,5,5-trimethylhexanoate;;Emollient/solvent/viscosity control- ling/skin conditioning
L7397;TRIISOPALMITIN;;;68957-79-9;273-364-3;1,2,3-propanetriyl  triisohexadecanoate;;Emollient
L7398;TRIISOPROPANOLAMINE;;;122-20-3;204-528-4;1,1',1''-nitrilotripropan-2-ol;III/1,62;Buffering
L7399;TRIISOPROPYL CITRATE;;;74592-76-0;;1,2,3-Propanetricarboxylic acid, 2-hydroxy, tris(1-methy- lethyl) ester;;Emollient/solvent
L7400;TRIISOPROPYL TRILI- NOLEATE;;;;;9,12-octadecadienoic acid trimer, methylethyl   triester;;Emollient/skin  conditioning
L7401;TRIISOSTEARIN;;;26942-95-0;248-122-5;1,2,3-propanetriyl triisooctadecanoate;;Emollient/solvent/viscosity control- ling/skin conditioning
L7402;TRIISOSTEARIN PEG-6 ESTERS;;;;;;;Emollient/skin  conditioning
L7403;TRIISOSTEARYL CITRATE;;;7775-50-0;231-896-3;Trioctadecyl  2-hydroxypropane-1,2,3-tricarboxylate;;Emollient/skin  conditioning
L7404;TRIISOSTEARYL TRILI- NOLEATE;;;;;;;Emollient/viscosity controlling/skin conditioning
L7405;TRILACTIN;;;537-32-6;208-664-5;Propane-1,2,3-triyl  trilactate;;Humectant/moisturising
L7406;TRILANETH-4 PHOS- PHATE;;;;;;;Viscosity controlling
L7407;TRILAURETH-4 PHOS- PHATE;;;31800-90-5;;Poly(oxy-1,2-ethanediyl), .alpha.,.alpha.',.alpha.''-phosphiny- lidynetris-.omega.-(dodecyloxy)-;;Emulsifying
L7408;TRILAURIN;;;538-24-9;208-687-0;Glycerol trilaurate;;Emollient/solvent/viscosity control- ling/skin conditioning
L7409;TRILAURYL CITRATE;;;65277-53-4;265-671-6;Tridodecyl  2-hydroxypropane-1,2,3-tricarboxylate;;Emollient/skin  conditioning
L7410;TRILAURYL  PHOSPHATE;;;682-49-5;211-665-3;Tridodecyl phosphate;;Surfactant/plasticiser/skin condi- tioning
L7411;TRILAURYLAMINE;;;102-87-4;203-063-4;Tridodecylamine;;Antistatic
L7412;TRILINOLEIC ACID;;;7049-66-3;;9,12-octadecadienoic acid (Z, Z)-,  trimer;;Emollient/viscosity controlling/skin conditioning/refatting
L7413;TRILINOLEIN;;;537-40-6;208-666-6;Propane-1,2,3-triyl  tris[(9Z,12Z)-octadeca-9,12-dienoate];;Emollient/solvent/viscosity control- ling/refatting
L7414;TRILINOLENIN;;;14465-68-0;238-457-5;Propane-1,2,3-triyl tris[(9Z,12Z,15Z)-octadeca-9,12,15-tri- enoate];;Emollient/refatting
L7415;TRIMAGNESIUM PHOS- PHATE;magnesium phos- phate;;7757-87-1;231-824-0;Trimagnesium  bis(orthophosphate);;Opacifying/anticaking/bulking
L7416;TRIMETHOXYCAPRYLYLSI- LANE;;;3069-40-7;221-338-7;Trimethoxyoctylsilane;;Binding/smoothing
L7417;TRIMETHYL PENTANYL DIISOBUTYRATE;;;6846-50-0;229-934-9;1-Isopropyl-2,2-dimethyltrimethylene   diisobutyrate;;Plasticiser
