codedName;INCI_name;INN name;Ph. Eur. Name;CAS;EC_No;IUPAC_Name;Restriction;Function
L657;4,6-BIS(2-HYDRO- XYETHOXY)-M-PHENYLE- NEDIAMINE HCL;;;94082-85-6;;Ethanol, 2,2'-[(4,6-diamino-1,3-phenylene)bis(oxy)]bis-, dihydrochloride;;Hair dyeing
L658;BIS-HYDROXYETHYL BIS- CETYL  MALONAMIDE;;;149591-38-8;;Propanediamide, N,N'-bis(2-hydroxyethyl)-N,N'-bis(hexa- decyl)-;;Skin protecting/skin conditioning/ hair conditioning
L659;BIS-HYDROXYETHYL COCOMONIUM NITRATE;;;71487-00-8;;Quaternary ammonium compounds, coco alkylbis (hydro- xyethyl)methyl, nitrates (salts);;Antistatic
L660;BIS-HYDROXYETHYL DIHYDROXYPROPYL STEARAMINIUM CHLOR- IDE;;;50744-86-0;;1-octadecanaminium, bis(2-hydroxyethyl)-(2,3-dihydroxy- propyl)-, chloride;;Antistatic
L661;BIS-HYDROXYETHYL RAPESEEDMONIUM CHLORIDE;;;223707-41-3;;Quaternary ammonium compounds, rapeseed alkylbis (hydroxyethyl)methyl, chlorides (salts);;Antistatic
L662;BIS-HYDROXYETHYL TAL- LOWMONIUM CHLORIDE;;;67784-77-4;267-052-6;Quaternary ammonium compounds, bis(hydroxyethyl) methyl tallow alkyl,  chlorides;;Antistatic
L663;BISMUTH CITRATE;bismuth citrate;;813-93-4;212-390-1;Bismuth citrate;;Buffering/chelating
L664;BISMUTH  OXYCHLORIDE;;;7787-59-9;232-122-7;Bismuth chloride oxide  (CI 77163);IV/1;Cosmetic colorant
L665;BISMUTH  SUBNITRATE;bismuth subnitrate;;1304-85-4;215-136-8;Bismuth nitrate, basic;;Absorbent/opacifying
L666;BISPHENYLHEXAMETHI- CONE;;;18758-91-3;;Tetrasiloxane, 1,1,1,7,7,7-hexamethyl-3,5-diphenyl-3,5-bis [(trimethylsilyl)oxy]-;;Antifoaming/emollient
L667;BIXA ORELLANA EXTRACT;;;89957-43-7;289-561-2;Bixa Orellana Extract is an extract of the pulp of Bixa orellana, Bixaceae;;Skin conditioning
L668;BIXA ORELLANA SEED EXTRACT;;;89957-43-7;289-561-2;Bixa Orellana Seed Extract is an extract of the seeds of Bixa orellana, Bixaceae;;Skin conditioning
L669;BLETIA HYACINTHINA EXTRACT;;;223748-10-5;;Bletia Hyacinthina Extract is an extract of the pseudobulbs  of Bletia hyacinthina, Orchidaceae;;Skin conditioning
L670;BOMBYX EXTRACT;;;91079-16-2;293-402-2;Bombyx Extract is an extract obtained from crushed silk worms (Bombyx);;Skin conditioning
L671;BOMBYX LIPIDA;;;226994-42-9;;Bombyx Lipida are the lipids obtained from crushed silk worms;;Skin conditioning
L672;BORAGO OFFICINALIS EXTRACT;;;84012-16-8;281-661-4;Borago Officinalis Extract is an extract of the herb of the borago, Borago officinalis, Boraginaceae;;Emollient
L673;BORAGO OFFICINALIS SEED OIL;;;225234-12-8;;Borago Officinalis Seed Oil is the fixed oil obtained from the seeds of Borago officinalis, Boraginaceae;;Emollient
L674;BORIC ACID;boric acid;acidum boricum;10043-35-3;233-139-2;Boric acid;III/1,1a;Antimicrobial
L675;BORNELONE;bornelone;;119375;218-757-2;3-Penten-2-one, 5-(3,3-dimethylbicyclo[2.2.1]hept-2-yli- dene)-;;Uv absorber
L676;BORNEOL;;;507-70-0;208-080-0;Bicyclo  [2.2.1]heptan-2-ol, 1,7,7-trimethyl-, endo-;;
L677;BORON NITRIDE;;;10043-11-5;233-136-6;Boron nitride;;Skin conditioning/opacifying/ absorbent
L678;BOSWELIA CARTERII EXTRACT;;;89957-98-2;289-620-2;Boswellia Carterii Extract is an extract of the bark exudate of the olibanum, Boswellia carterii,  Burseraceae;;Tonic/smoothing
L679;BOSWELLIA SERRATA EXTRACT;;;97952-72-2;308-366-6;Boswellia Serrata Extract is an extract of the bark exudate of the olibanum, Boswellia serrata,  Burseraceae;;Tonic/smoothing
L680;BOUGAINVILLEA GLABRA EXTRACT;;;223749-28-8;;Bougainvillea Glabra Extract is an extract of the flowers of the bougainvillea, Bougainvillea glabra, Nyctaginaceae;;Skin conditioning
L681;BRAIN EXTRACT;;;84539-85-5;283-072-8;Brain Extract is an extract obtained from mammalian brain;II/419 (if from bovine animals aged 12 months or ovine and caprine animals aged over 12 months or which have a permanent incissor tooth erupted through the gum);Skin protecting
L682;BRASSICA ALBA EXTRACT;;;84929-33-9;284-517-9;Brassica Alba Extract is an extract of the seeds of the white mustard, Brassica alba, Brassicaceae;;Antimicrobial/antiseborrhoeic
L683;BRASSICA CAMPESTRIS OLEIFERA OIL;;;8002-13-9;232-299-0;Brassica Campestris Oleifera Oil is the oil expressed from the seeds of the rape, Brassica campestris oleifera,  Brassicaceae;;Emollient
L684;BRASSICA CAMPESTRIS OLEIFERA OIL UNSAPO- NIFIABLES;;;225234-15-1;;Brassica Campestris Oleifera Oil Unsaponifiables is the fraction of oil of the seed of rape, Brassica campestris oleifera, Brassicaceae, which has not been transformed into soap during the process of    saponification;;Hair  conditioning/skin  protecting
L685;BRASSICA CAMPESTRIS RAPA EXTRACT;;;90989-79-0;292-737-1;Brassica Campestris Rapa Extract is an extract of the roots of the turnip, Brassica campestris rapa,  Brassicaceae;;Antimicrobial/emollient
L686;BRASSICA JUNCEA EXTRACT;;;93062-78-3;296-833-4;Brassica Juncea Extract is an extract of the seeds of the brown mustard, Brassica juncea, Brassicaceae;;Antimicrobial
L687;BRASSICA NIGRA EXTRACT;;;90064-15-6;290-076-3;Brassica Nigra Extract is an extract of the seeds of the black mustard, Brassica nigra, Brassicaceae;;Antimicrobial
L688;BRASSICA OLERACEA BOTRYTIS OIL UNSAPO- NIFIABLES;;;223749-36-8;;Brassica Oleracea Botrytis Oil Unsaponifiables is the fraction of cauliflower (Brassica oleracea botrytis, Brassicaceae) oil which has not been transformed into soap during the   process  of saponification;;Emollient/antiseborrhoeic
L689;BRASSICA OLERACEA CAPITATA EXTRACT;;;89958-13-4;289-635-4;Brassica Oleracea Capitata Extract is an extract of the leaves of the cabbage, Brassica oleracea capitata, Brassicaceae;;Antiseborrhoeic
L690;BREVOORTIA OIL;;;8002-50-4;232-311-4;Brevoortia Oil is the fixed oil obtained from the small North Atlantic fish, menhaden (Brevoortia  tyrannis);;Emollient/solvent
L691;BRILLIANT BLACK 1;;;2519-30-4;219-746-5;Tetrasodium 1-acetamido-2-hydroxy-3-(4-((4-sulphonato- phenylazo)-7-sulphonato-1-naphthylazo))naphthalene-4,6- disulphonate (CI 28440);;Hair dyeing
L692;BROMOCHLOROPHENE;;;15435-29-7;239-446-8;2,2'-methylenebis(6-bromo-4-chlorophenol);VI/1,37;Preservative
L693;BROMOCINNAMAL;;;5443-49-2;226-637-6;2-bromocinnamaldehyde;;Masking
L694;BROMOCRESOL  GREEN;;;76-60-8;200-972-8;Phenol, 4,4'-(3H-2,1-benzoxathiol-3-ylidene)bis[2,6- dibromo-3-methyl-,S,S-dioxide;IV/1;Cosmetic colorant
L695;5-BROMO-5-NITRO-1,3- DIOXANE;;;30007-47-7;250-001-7;5-bromo-5-nitro-1,3-dioxane;VI/1,20;Preservative
L696;2-BROMO-2-NITROPRO- PANE-1,3-DIOL;bronopol;;52-51-7;200-143-0;1,3-Propanediol, 2-bromo-2-nitro-;VI/1,21;Preservative
L697;BROMOTHYMOL  BLUE;;;76-59-5;200-971-2;Phenol, 4,4'-(3H-2,1-benzoxathiol-3-ylidene)bis[2-bromo-3- methyl-6-(1-methylethyl)-, S,S-dioxide;IV/1;Cosmetic colorant
L698;BUBULUM OIL;;;8002-64-0;232-314-0;Bubulum Oil is the fixed oil obtained from the feet of   cattle;;Emollient/solvent
L699;BUMETRIZOLE;bumetrizole;;729335;223-445-4;Phenol, 2-(5-chloro-2H-benzotriazol-2-yl)-6-(1,1-dimethy- lethyl)-4-methyl-;;Uv absorber
L700;BUTADIENE/ACRYLONI- TRILE COPOLYMER;;;9003-18-3;;2-propenenitrile, polymer with 1,3-butadiene;;Film  forming/viscosity controlling
L701;BUTANE;butane;;106-97-8;203-448-7;Butane;;Propellant
L702;BUTETH-3 CARBOXYLIC ACID;;;107600-34-0;;Poly(oxy-1,2-ethanediyl), .alpha.-butyl-.omega.-carboxy- methoxy;;Surfactant
L703;BUTOXY CHITOSAN;;;;;Chitosan, butoxylated;;Film  forming/viscosity controlling
L704;BUTOXYDIGLYCOL;;;112-34-5;203-961-6;2-(2-butoxyethoxy)ethanol;;Solvent
L705;BUTOXYETHANOL;;;111-76-2;203-905-0;2-butoxyethanol;;Solvent
L706;BUTOXYETHYL ACETATE;;;112-07-2;203-933-3;2-Butoxyethyl acetate;;Solvent
L707;BUTOXYETHYL NICOTI- NATE;nicoboxil;;13912-80-6;237-684-7;3-Pyridinecarboxylic acid, 2-butoxyethyl  ester;;Skin conditioning
L708;BUTOXYNOL-5 CAR- BOXYLIC ACID;;;104909-82-2;;Poly(oxy-1,2-ethanediyl), .alpha.-carboxymethyl-.omega.-[4- (1,1-dimethylethyl)phenoxy]-, (4 mol EO average molar ratio);;Emulsifying
L709;BUTOXYNOL-19 CAR- BOXYLIC ACID;;;104909-82-2;;Poly(oxy-1,2-ethanediyl), .alpha.-carboxymethyl-.omega.-[4- (1,1-dimethylethyl)phenoxy]-, (18 mol EO average molar ratio);;Emulsifying
L710;BUTOXYPROPANOL;;;5131-66-8;225-878-4;1-butoxypropan-2-ol;;Humectant
L711;BUTYL ACETATE;;;123-86-4;204-658-1;n-butyl acetate;;Solvent
L712;BUTYL ACETYL RICI- NOLEATE;;;140-04-5;205-393-4;Butyl O-acetylricinoleate;;Emollient
L713;BUTYL ACRYLATE/ HYDROXYETHYL METHA- CRYLATE COPOLYMER;;;30600-43-2;;2-Propenoic acid, 2-methyl-, 2-hydroxyethyl ester, polymer with  butyl  2-propenoate;;Film forming
L714;BUTYL ACRYLATE/STYR- ENE COPOLYMER;;;25767-47-9;;2-Propenoic acid, butyl ester, polymer  with  ethenylbenzene;;Film forming
L715;BUTYL BENZOATE;;;136-60-7;205-252-7;Butyl benzoate;VI/1,1;Preservative
L716;BUTYL BENZOIC ACID/ PHTHALIC ANHYDRIDE/ TRIMETHYLOLETHANE COPOLYMER;;;68814-19-7;;4-(1,1-dimethylethyl)benzoic acid, polymer with 1,2-ben- zenedicarboxylic anhydride and 2-methyl-2-hydroxymethyl- 1,3-propanediol;;Film forming
L717;BUTYL ESTER OF ETHY- LENE/MA COPOLYMER;;;68954-39-2;;2,5-Furandione, polymer with ethene, butylated;;Antistatic/binding/film  forming
L718;BUTYL ESTER OF PVM/MA COPOLYMER;;;25119-68-0;;2-butenedioic acid (Z)-, polymer with methoxyethene, monobutyl  ester;;Antistatic/film forming
L719;BUTYL ISOSTEARATE;;;94109-07-6;302-444-3;Butyl  16-methylheptadecanoate;;Emollient
L720;BUTYL LACTATE;butyl lactate;;138-22-7;205-316-4;Propanoic acid, 2-hydroxy-, butyl  ester;;Solvent
L721;BUTYL METHACRYLATE;;;97-88-1;202-615-1;Butyl methacrylate;;Viscosity controlling
L722;BUTYL METHOXYDIBEN- ZOYLMETHANE;avobenzone;;70356-09-1;274-581-6;1-[4-(1,1-dimethylethyl)phenyl]-3-(4-methoxyphenyl)pro- pane-1,3-dione;VII/1,8;Uv absorber/uv filter
L723;BUTYL MYRISTATE;;;110-36-1;203-759-8;Butyl myristate;;Emollient
L724;BUTYL OLEATE;;;142-77-8;205-559-6;Butyl oleate;;Emollient
L725;BUTYL PHTHALYL BUTYL GLYCOLATE;;;85-70-1;201-624-8;Butoxycarbonylmethyl  butyl phthalate;;Film forming
L726;BUTYL POLYGLUCOSE;;;;;;;Surfactant/foaming/cleansing
L727;BUTYL STEARATE;;;123-95-5;204-666-5;Butyl stearate;;Emollient
L728;BUTYL THIOGLYCOLATE;;;10047-28-6;233-156-5;Butyl mercaptoacetate;III/1,2b;Hair  waving or straightening
L729;BUTYLATED POLYOXY- METHYLENE UREA;;;68002-19-7;;Urea, polymer  with  formaldehyde, butylated;;Film forming
L730;BUTYLATED PVP;;;26160-96-3;;1-vinyl-2-pyrrolidone, homopolymer, butylated;;Film forming
L731;BUTYLENE GLYCOL;;;107-88-0;203-529-7;Butane-1,3-diol;;Humectant/solvent
L732;BUTYLENE GLYCOL DICA- PRYLATE/DICAPRATE;;;;;1,2-butanediol, diesters with octanoic and decanoic    acids;;Emollient
L733;BUTYLENE GLYCOL MON- TANATE;;;93763-20-3;297-837-9;Fatty acids,  montan-wax,  esters with 1,3-butanediol;;Emollient
L734;BUTYLENE/ETHYLENE COPOLYMER;;;9019-29-8;;Butene,  polymer  with ethene;;Viscosity controlling
L735;BUTYLGLUCOSIDE CAP- RATE;;;134932-39-1;;Butyl-beta-D-glucopyranoside 6-decanoate;;Surfactant/cleansing/emulsifying
L736;BUTYLOCTANOIC ACID;;;27610-92-0;248-570-1;2-Butyloctanoic acid;;Surfactant/cleansing/emulsifying
L737;BUTYLOCTANOL;;;735273;223-470-0;2-butyloctan-1-ol;;Humectant
L738;BUTYLOCTYL BEESWAX;;;151661-98-2;;Fatty acids, beeswax, esters with  2-butyloctanol;;Emollient
L739;BUTYLOCTYL BENZOATE;;;188038-97-3;;1-Octanol, 2-butyl-, benzoate;;Plasticiser/skin conditioning/emol- lient/solvent
L740;BUTYLOCTYL CANDELIL- LATE;;;226994-03-2;;Fatty acids, candelilla wax, 2-butyloctyl  ester;;Viscosity controlling
L741;BUTYLOCTYL OLEATE;;;134112-37-1;;(Z)-9-Octadecenoic acid, 2-butyloctyl  ester;;Emollient
L742;BUTYLOCTYL SALICY- LATE;;;190085-41-7;;Benzoic acid, 2-hydroxy-, 2-butyloctyl  ester;;Hair conditioning/skin condition- ing/solvent
L743;BUTYLPARABEN;butylparaben;;94-26-8;202-318-7;Butyl 4-hydroxybenzoate;VI/1,12;Preservative
L744;BUTYLPHENYL METHYL- PROPIONAL;;;80-54-6;201-289-8;2-(4-tert-butylbenzyl)propionaldehyde;;Masking
L745;BUTYRIS LAC POWDER;;;;310-127-6;Naturally occuring substances, dried buttermilk obtained by the dehydration of the liquid recovered from the churning of cow's milk or cream to prepare butter;;Hair conditioning/skin condition- ing
L746;BUTYROLACTONE;;;96-48-0;202-509-5;.gamma.-butyrolactone;;Solvent
L747;BUTYROSPERMUM PARKII BUTTER;;;91080-23-8;293-515-7;Butyrospermum Parkii Butter is the fat obtained from the fruit of  the karite tree, Butyrospernum parkii,   Sapotaceae;;Skin  conditioning/emollient
L748;BUTYROSPERMUM PARKII BUTTER EXTRACT;;;91080-23-8;;Butyrospermum Parkii Butter Extract is an extract of shea butter,  Butyrospermum  parkii, Sapotaceae;;Emollient
L749;BUTYROSPERMUM PARKII BUTTER UNSAPONIFI- ABLES;;;225234-14-0;;Oils, shea  butter, unsaponifiable fraction;;Emollient
L750;BUTYROYL TRIHEXYL CITRATE;;;82469-79-2;;1,2,3-Propanetricarboxylic acid, 2-(1-oxobutoxy)-, trihexyl ester;;Emollient
L751;BUTYRUM;;;8029-34-3;310-127-6;Naturally occurring substances, butter;;Emollient
L752;BUXUS SEMPERVIRENS EXTRACT;;;84012-17-9;281-663-5;Buxus Sempervirens Extract is an extract of the leaves of the boxwood, Buxus sempervirens, Buxaceae;;Skin conditioning
L753;C1-5 ALKYL GALACTO- MANNAN;;;;;Galactomannan  polysaccharide,  C1-5-alkyl ethers;;Binding/emulsifying/film forming/ viscosity controlling
L754;C6-14 POLYOLEFIN;;;246538-69-2;;Alkenes, C6-14, polymerised;;Emulsifying
L755;C7-8 ISOPARAFFIN;;;70024-92-9;274-273-1;Alkanes, C7-8-iso-;;Solvent
L756;C8-10 ALKYL ETHYL PHOSPHATE;;;68412-60-2;270-198-3;Phosphoric acid, mixed decyl and Et and octyl   esters;;Viscosity controlling
L757;C8-9 ISOPARAFFIN;;;246538-71-6;;Alkanes, iso-, C8-9;;Solvent
L758;C9-11 ALCOHOLS;;;66455-17-2;266-367-6;Alcohols, C9-11;;Emollient/emulsion stabilising/visc- osity controlling
L759;C9-11 ISOPARAFFIN;;;68551-16-6;271-365-3;Alkanes, C9-11-iso-;;Solvent
L760;C9-11 PARETH-3;;;68439-46-3;;Alcohols, C9-11, ethoxylated (3 mol EO average molar ratio);;Emulsifying
L761;C9-11 PARETH-6;;;68439-46-3;;Alcohols, C9-11, ethoxylated (6 mol EO average molar ratio);;Emulsifying
L762;C9-11 PARETH-8;;;68439-46-3;;Alcohols, C9-11, ethoxylated (8 mol EO average molar ratio);;Emulsifying
L763;C9-11 PARETH-6 CAR- BOXYLIC ACID;;;174125-27-0;;Poly(oxy-1,2-ethanediyl),.alpha.-carboxymethyl-.omega.- hydroxy-, C9-11-alkyl ethers (6 mol EO average molar ratio);;Surfactant/cleansing
L764;C9-13 ISOPARAFFIN;;;246538-72-7;;Alkanes, iso-, C9-13;;Solvent
L765;C9-14 ISOPARAFFIN;;;246538-73-8;;Alkanes, iso-, C9-14;;Solvent
L766;C9-15 ALKYL PHOSPHATE;;;190454-07-0;;Phosphoric acid, mono- and di-C9-15-alkyl   esters;;Surfactant/cleansing/emulsifying
L767;C9-15 FLUOROALCOHOL PHOSPHATES;;;223239-92-7;;Perfluoro-C9-15-alkanol,  esters  with  phosphoric acid;;Skin conditioning
L768;C9-16 ALKANES/ CYCLOALKANES;;;;;Alkanes and cycloalkanes,  C9-16;;Solvent
L769;C10-11  ISOPARAFFIN;;;246538-75-0;;Alkanes,  iso-, C10-11;;Solvent
L770;C10-13 ALKANE;;;129813-66-7;;Alkanes, C10-13;;Solvent
L771;C10-13  ISOPARAFFIN;;;68551-17-7;271-366-9;Alkanes, C10-13-iso-;;Solvent
L772;C10-14 ALKYL BENZENE- SULFONIC ACID;;;85117-49-3;285-599-9;Benzenesulfonic acid, mono-C10-14-alkyl  derivs;;Surfactant/foaming
L773;C10-18 TRIGLYCERIDES;;;85665-33-4;288-123-8;Glycerides, C10-18;;Emollient/solvent
L774;C10-30 CHOLESTEROL/ LANOSTEROL  ESTERS;;;;;Alkanoic acids, C10-30, product with cholesterol and lanosta-8,24-dien-3-ol,  (3-beta)-;;Emulsifying
L775;C11-12  ISOPARAFFIN;;;246538-76-1;;Alkanes,  iso-, C11-12;;Solvent
L776;C11-13  ISOPARAFFIN;;;246538-78-3;;Alkanes,  iso-, C11-13;;Solvent
L777;C11-15 ALKANES/ CYCLOALKANES;;;;;Alkanes  and  cycloalkanes, C11-15;;Solvent
L778;C11-15 PARETH-3;;;173244-48-9;;Alcohols, C11-15, ethoxylated (3 mol EO average molar ratio);;Emulsifying
L779;C11-15  PARETH-3 OLEATE;;;246538-04-5;;Poly(oxy-1,2-ethanediyl), .alpha.-[(9Z)-1-oxo-9-octadece- nyl]-.omega.-hydroxy-, C11-15-alkyl ethers (3 mol EO average molar ratio);;Emollient/emulsifying
L780;C11-15 PARETH-3 STEA- RATE;;;68891-25-8;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxooctadecyl)-.omega.- hydroxy-, C11-15-alkyl ethers (3 mol EO average molar ratio);;Emollient
L781;C11-15 PARETH-5;;;173244-48-9;;Alcohols, C11-15, ethoxylated (5 mol EO average molar ratio);;Emulsifying
L782;C11-15 PARETH-7;;;173244-48-9;;Alcohols, C11-15, ethoxylated (7 mol EO average molar ratio);;Emulsifying
L783;C11-15 PARETH-7 CAR- BOXYLIC ACID;;;246159-57-9;;Poly(oxy-1,2-ethanediyl),.alpha.-(carboxymethyl)-.omega.- hydroxy-, C11-15-alkyl ethers (6 mol EO average molar ratio);;Emulsifying/surfactant
L784;C11-15 PARETH-9;;;173244-48-9;;Alcohols, C11-15, ethoxylated (9 mol EO average molar ratio);;Emulsifying
L785;C11-15 PARETH-12;;;173244-48-9;;Alcohols, C11-15, ethoxylated (12 mol EO average molar ratio);;Emulsifying/surfactant
L786;C11-15 PARETH-12 STEA- RATE;;;68891-25-8;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxooctadecyl)-.omega.- hydroxy-, C11-15-alkyl ethers (12 mol EO average molar ratio);;Emollient
L787;C11-15 PARETH-15;;;173244-48-9;;Alcohols, C11-15, ethoxylated (12 mol EO average molar ratio);;Emulsifying
L788;C11-15 PARETH-20;;;173244-48-9;;Alcohols, C11-15, ethoxylated (20 mol EO average molar ratio);;Emulsifying/surfactant
L789;C11-15 PARETH-30;;;173244/48/9;;Alcohols, C11-15, ethoxylated (20 mol EO average molar ratio);;Emulsifying/surfactant
L790;C11-15 PARETH-40;;;173244-48-9;;Alcohols, C11-15, ethoxylated (20 mol EO average molar ratio);;Surfactant/cleansing
L791;C11-15  SEC-PARETH-12;;;68131-40-8;;Alcohols, C11-15-secondary, ethoxylated (12 mol EO average molar ratio);;Surfactant/emulsifying
L792;C11-21-PARETH-3;;;246538-82-9;;Alcohols, C11-21, ethoxylated (3 mol EO average molar ratio);;Emulsifying
L793;C11-21-PARETH-10;;;246538-82-9;;Alcohols, C11-21, ethoxylated (10 mol EO average molar ratio);;Emulsifying/surfactant
L794;C12-13 ALCOHOLS;;;75782-86-4;278-306-0;Alcohols, C12-13;;Emollient/emulsion stabilising/visc- osity controlling
L795;C12-13 ALKYL ETHYL- HEXANOATE;;;;;Hexanoic acid, 2-ethyl-, C12-13-alkyl  esters;;Emollient
L796;C12-13 ALKYL LACTATE;;;;;Propanoic acid, 2-hydroxy-, C12-13-alkyl  esters;;Emollient
L797;C12-13 PARETH-3;;;66455-14-9;;Alcohols, C12-13, ethoxylated (3 mol EO average molar ratio);;Emulsifying
L798;C12-13 PARETH-4;;;66455-14-9;;Alcohols, C12-13, ethoxylated (4 mol EO average molar ratio);;Emulsifying
L799;C12-13 PARETH-5 CAR- BOXYLIC ACID;;;70750-17-3;;Poly(oxy-1,2-ethanediyl), .alpha.-carboxymethyl-.omega.- hydroxy-, C12-13-alkyl ethers (4 mol EO average molar ratio);;Surfactant/cleansing
L800;C12-13 PARETH-7;;;66455-14-9;;Alcohols, C12-13, ethoxylated (7 mol EO average molar ratio);;Emulsifying
L801;C12-13 PARETH-8 CAR- BOXYLIC ACID;;;70750-17-3;;Poly(oxy-1,2-ethanediyl), .alpha.-carboxymethyl-.omega.- hydroxy-, C12-13-alkyl ethers (7 mol EO average molar ratio);;Emulsifying
L802;C12-13 PARETH-9;;;66455-14-9;;Alcohols, C12-13, ethoxylated (9 mol EO average molar ratio);;Emulsifying
L803;C12-13 PARETH-10;;;66455-14-9;;Alcohols, C12-13, ethoxylated (10 mol EO average molar ratio);;Emulsifying
L804;C12-13 PARETH-10 PHOS- PHATE;;;68130-45-0;;Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-, mono-C12-13-alkyl ethers, phosphates (10 mol EO average molar ratio);;Emulsifying/cleansing
L805;C12-13 PARETH-15;;;66455-14-9;;Alcohols, C12-13, ethoxylated (15 mol EO average molar ratio);;Emulsifying
L806;C12-13 PARETH-23;;;66455-14-9;;Alcohols, C12-13, ethoxylated (23 mol EO average molar ratio);;Emulsifying
L807;C12-13 PARETH-12 CAR- BOXYLIC ACID;;;70750-17-3;;Poly(oxy-1,2-ethanediyl),.alpha.-carboxymethyl-.omega.- hydroxy-, C12-13-alkyl ethers (11 mol EO average molar ratio);;Surfactant/cleansing
L808;C12-13 PARETH-2;;;66455-14-9;;Alcohols, C12-13, ethoxylated (2 mol EO average molar ratio);;Surfactant/emulsifying
L809;C12-13 PARETH-5;;;66455-14-9;;Alcohols, C12-13, ethoxylated (5 mol EO average molar ratio);;Sufactant/emulsifying
L810;C12-14  ISOPARAFFIN;;;68551-19-9;271-369-5;Alkanes, C12-14-iso-;;Solvent
L811;C12-14 PARETH-3;;;68439-50-9;;Alcohols, C12-14, ethoxylated (3 mol EO average molar ratio);;Emulsifying
L812;C12-14 PARETH-7;;;68439-50-9;;Alcohols, C12-14, ethoxylated, (7 mol EO average molar ratio);;Emulsifying
L813;C12-14 PARETH-12;;;68439-50-9;;Alcohols, C12-14, ethoxylated (12 mol EO average molar ratio);;Emulsifying
L814;C12-15 ALCOHOLS;;;63393-82-8;264-118-6;Alcohols, C12-15;;Emollient/emulsion stabilising/visc- osity controlling
L815;C12-15 ALKYL BENZOATE;;;68411-27-8;270-112-4;Benzoic acid, C12-15-alkyl esters;;Emollient
L816;C12-15 ALKYL ETHYL- HEXANOATE;;;90411-66-8;291-443-0;Hexanoic acid, 2-ethyl-, C12-15-alkyl  esters;;Emollient
L817;C12-15 ALKYL LACTATE;;;93925-36-1;300-338-1;Propanoic acid, 2-hydroxy-, C12-15-alkyl  esters;;Emollient
L818;C12-15 ALKYL SALICY- LATE;;;222722-22-7;;Benzoic acid, 2-hydroxy-, C12-15 alkyl  esters;;Antistatic/hair conditioning
L819;C12-15 PARETH-2;;;68131-39-5;500-195-7;Alcohols, C12-15, ethoxylated (2 mol EO average molar ratio);;Emulsifying
L820;C12-15 PARETH-2 PHOS- PHATE;;;68071-35-2;500-185-2;Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-, mono-C12-15-alkyl ethers, phosphates (2 mol EO average molar ratio);;Emulsifying/surfactant
L821;C12-15 PARETH-3;;;68131-39-5;;Alcohols, C12-15, ethoxylated (3 mol EO average molar ratio);;Emulsifying
L822;C12-15 PARETH-4;;;68131-39-5;;Alcohols, C12-15, ethoxylated (4 mol EO average molar ratio);;Emulsifying
L823;C12-15 PARETH-5;;;68131-39-5;;Alcohols, C12-15, ethoxylated (5 mol EO average molar ratio);;Emulsifying
L824;C12-15 PARETH-7;;;68131-39-5;;Alcohols, C12-15, ethoxylated (7 mol EO average molar ratio);;Emulsifying
L825;C12-15 PARETH-7 CAR- BOXYLIC ACID;;;88497-58-9;;Poly(oxy-1,2-ethanediyl), .alpha.-carboxymetyl-.omega.- hydroxy-, C12-15-alkyl ethers (6 mol EO average molar ratio);;Surfactant/cleansing
L826;C12-15 PARETH-8 CAR- BOXYLIC ACID;;;88497-58-9;;Poly(oxy-1,2-ethanediyl), .alpha.-carboxymethyl-.omega.- hydroxy-, C12-15-alkyl ethers (7 mol EO average molar ratio);;Emulsifying
L827;C12-15 PARETH-8 PHOS- PHATE;;;68071-35-2;;Poly(oxy-1,2- ethanediyl), .alpha.-hydro-.omega.-hydroxy-, mono-C12-15-alkyl ethers, phosphates (2 mol EO average molar ratio);;Emulsifying/cleansing
L828;C12-15 PARETH-9;;;68131-39-5;;Alcohols, C12-15, ethoxylated (9 mol EO average molar ratio);;Emulsifying/surfactant
L829;C12-15 PARETH-9 HYDROGENATED TALLO- WATE;;;246538-68-1;;Fatty acids, tallow, hydrogenated, esters with polyethylene glycol mono-C12-15-alkyl ethers (9 mol EO average molar ratio);;Emulsifying/surfactant
L830;C12-15 PARETH-10 PHOS- PHATE;;;68071-35-2;;Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-, mono-C12-15-alkyl ethers, phosphates (10 mol EO average molar ratio);;Emulsifying/cleansing
